Configuration	Term	J	Level (eV)	Uncertainty (eV)	Leading percentages	Reference
"2p6.10f"	"2F*"	"7/2"	"[5.00298070]"	"0.00000025"	"                                                                                              "	""
"2p6.10f"	"2F*"	"5/2"	"[5.00298070]"	"0.00000025"	"                                                                                              "	""
"2p6.10g"	"2G"	"7/2,9/2"	"[5.00301219]"	"0.00000025"	"                                                                                              "	""
"2p6.10h"	"2H*"	"9/2,11/2"	"[5.00301938]"	"0.00000025"	"                                                                                              "	""
"2p6.11p"	"2P*"	"1/2"	" 5.00684454"	"0.00000025"	"                                                                                              "	""
"2p6.11p"	"2P*"	"3/2"	" 5.00686587"	"0.00000025"	"                                                                                              "	""
"2p6.12s"	"2S"	"1/2"	" 5.01915754"	"0.00000025"	"                                                                                              "	""
"2p6.11d"	"2D"	"5/2"	"[5.02633089]"	"0.00000025"	"                                                                                              "	""
"2p6.11d"	"2D"	"3/2"	"[5.02633114]"	"0.00000025"	"                                                                                              "	""
"2p6.11f"	"2F*"	"5/2"	"[5.02660366]"	"0.00000025"	"                                                                                              "	""
"2p6.11f"	"2F*"	"7/2"	"[5.02660366]"	"0.00000025"	"                                                                                              "	""
"2p6.11g"	"2G"	"7/2,9/2"	"[5.02662734]"	"0.00000025"	"                                                                                              "	""
"2p6.12p"	"2P*"	"1/2"	"[5.02951605]"	"0.00000025"	"                                                                                              "	""
"2p6.12p"	"2P*"	"3/2"	"[5.02953216]"	"0.00000025"	"                                                                                              "	""
"2p6.13s"	"2S"	"1/2"	"[5.03886012]"	"0.00000025"	"                                                                                              "	""
"2p6.12d"	"2D"	"3/2"	"[5.04436018]"	"0.00000025"	"                                                                                              "	""
"2p6.12d"	"2D"	"5/2"	"[5.04436018]"	"0.00000025"	"                                                                                              "	""
"2p6.12f"	"2F*"	"5/2,7/2"	"[5.04457021]"	"0.00000025"	"                                                                                              "	""
"2p6.12g"	"2G"	"7/2,9/2"	"[5.04458868]"	"0.00000025"	"                                                                                              "	""
"2p6.13p"	"2P*"	"1/2"	"[5.04681941]"	"0.00000025"	"                                                                                              "	""
"2p6.13p"	"2P*"	"3/2"	"[5.04683180]"	"0.00000025"	"                                                                                              "	""
"2p6.14s"	"2S"	"1/2"	"[5.05407744]"	"0.00000025"	"                                                                                              "	""
